episode,clip_number,youtube_id,start,end,topics
72,2,xqCEjV48TWA,531,651,Tie| Bag| Bottle
72,3,xqCEjV48TWA,868,988,Panties| Toenails| Takis
73,1,SnJpkJ0or5o,65,185,Royal Flush| Dr. Pepper| Leopards
73,2,SnJpkJ0or5o,374,494,Tank| Obligatory| Despicable| Stars
73,3,SnJpkJ0or5o,667,787,Yarn| Tow Truck| Beetle
74,1,2kfaZHwzda8,83,203,Balloon| Symptomatic| Oragutan
74,2,2kfaZHwzda8,384,504,Barbecue| Piano| Street| Bedframe
74,3,2kfaZHwzda8,677,797,Uninterested| Sweet Tea| Women
75,1,4yeyJVkbX8Y,70,190,Magnetic| Cactus| Schoolbus
75,99,4yeyJVkbX8Y,322,442,NordVPN Advertisment
75,2,4yeyJVkbX8Y,487,607,Reebok| Ping Pong| Violin
75,3,4yeyJVkbX8Y,817,937,Interstellar| Mathematical| Trigonometry
76,1,Xm8Z4bGH_Ok,111,231,Abracadabra| Paralysis| Potential
76,2,Xm8Z4bGH_Ok,396,516,Skallywag| Compromise| Execute
76,3,Xm8Z4bGH_Ok,704,824,Disinfect| Lemonade| Beetlejuice
77,1,yxb2mb4wkF4,66,186,Onamatopia| Questionable| Eyelashes
77,99,yxb2mb4wkF4,267,387,NordVPN Advertisment
77,2,yxb2mb4wkF4,411,531,Holiday| Controller| Wallet
77,3,yxb2mb4wkF4,723,843,Apple| Door| Book| Discriminate
78,1,NKtwLntS4Pg,92,212,Love| Radiator| Environment
78,99,NKtwLntS4Pg,355,475,NordVPN Advertisment
78,2,NKtwLntS4Pg,488,608,Knowledge| Pencil| Mouse
78,3,NKtwLntS4Pg,786,906,Nail Polish| Fan| Rainbow
79,1,MiU7GJYeTas,78,198,Immaculate| Paleontologist| Arithmatic
79,99,MiU7GJYeTas,347,467,Keeps Advertisment
79,2,MiU7GJYeTas,488,608,Paint| Door| Bed
79,3,MiU7GJYeTas,756,876,Drip| Black| Savage| Prodigy
80,1,TwRATtm76cI,72,192,Monitor| Flabbergasted| Tesla| Trash
80,2,TwRATtm76cI,363,483,Television| Basketball| Airplane
80,3,TwRATtm76cI,669,789,Halloween| Vikings| Honda| Lebron James
80,4,TwRATtm76cI,901,1021,Drugs
81,1,bt0DLDPVE1M,65,185,Professional| Advantage| Diploma
81,99,bt0DLDPVE1M,323,443,Keeps Advertisment
81,2,bt0DLDPVE1M,443,563,Dreamcatcher| Flower Field| Knife
81,3,bt0DLDPVE1M,777,897,Prison| Takeaway| Celebrate| War| Gangsters
82,1,6Phbw1vg5Wc,58,178,Notion| Flexibility| Acrobatics
82,99,6Phbw1vg5Wc,263,383,Keeps Advertisment
82,2,6Phbw1vg5Wc,377,497,Cup| Inevitable| Unforgetable
82,3,6Phbw1vg5Wc,642,762,Comb| Library| Drawer| Uncapacitated
83,1,16xwgMHig-A,59,179,Bike| Chicacgo| Bullet
83,2,16xwgMHig-A,273,393,Athletic Greens Commercial
83,3,16xwgMHig-A,395,515,Optimistic| Proflific| Life
83,4,16xwgMHig-A,648,768,Minecraft| Douchebag| Vamanos
84,1,REllMQ6EQi8,78,198,Squishmallow| Table| Tampon| Evergreen| Live
84,99,REllMQ6EQi8,345,465,NordVPN Advertisment
84,2,REllMQ6EQi8,513,633,Xenomorph| Adherence| Supercalifragilisticexpialidocious
84,3,REllMQ6EQi8,775,895,Parking| Alphabet| Counterfeit
85,1,6mfIBMQMYTw,64,184,Fundemental| Squiggle| Creative| Vigor| Fire
85,2,6mfIBMQMYTw,262,382,Puzzle| Black| Future
85,3,6mfIBMQMYTw,580,700,Rambunctuios| Genuflect| Opportunity
