youtube_id,start,length,end,words,notes,producer,beat_name,,,,,,,,
Z3FjhBuFKyM,1058,144,1202,"Diction, Football, PS5  (w/ Marcus Veltri)",,,,,,,,,,,
t_JrcAOfAp4,47,98,145,Off the Top with Marcus Veltri 1,,,,,,,,,,,
t_JrcAOfAp4,288,135,423,"Yeti, Pickle, Guitar (w Marcus Veltri)",,,,,,,,,,,
t_JrcAOfAp4,503,128,631,"Book, Piano, Hat (w Marcus Veltri)",,,,,,,,,,,
t_JrcAOfAp4,725,111,836,"Guitar, Star Wars, Black Hole (w Marcus Veltri)",,,,,,,,,,,
t_JrcAOfAp4,910,99,1009,Off the Top with Marcus Veltri 2,,,,,,,,,,,
p-GYLYqpTP8,61,182,243,"Polo, Airplane, Mower",,,,,,,,,,,
p-GYLYqpTP8,337,159,496,"Art, Cell Phone, Thoughts",,,,,,,,,,,
p-GYLYqpTP8,576,739,1315,"Roar, Dive, Run (they draw Harry)",,,,,,,,,,,
PPS8RLQkw04,65,155,220,"King, Tiger, Clout",,,,,,,,,,,
PPS8RLQkw04,352,187,539,"Cauliflower, Ostentatious, Penguin",,,,,,,,,,,
PPS8RLQkw04,632,161,793,"Hot Pocket, Chair & Desk, Sunset",,,,,,,,,,,
YPLX5YpSMfI,84,186,270,"Halifax, Chair, Mango",,,,,,,,,,,
YPLX5YpSMfI,352,168,520,"Elephant, Scissors, Facemask",,,,,,,,,,,
YPLX5YpSMfI,623,168,791,"Pineapple, Wall, Blue",,,,,,,,,,,
QaD5-e6hjmY,90,166,256,"Panini, Blunt, Orange, Puppy",,,,,,,,,,,
QaD5-e6hjmY,333,192,525,"Dog, Hair, Books",,,,,,,,,,,
QaD5-e6hjmY,704,178,882,"Pasta, Brown, Blue, Necklace",,,,,,,,,,,
1XZJKKNopEw,82,185,267,"Money, Fame, Clout, Diamonds, Astronaut, Juice",,,,,,,,,,,
1XZJKKNopEw,401,234,635,"Aliens, Math, Bottle",,,,,,,,,,,
1XZJKKNopEw,698,79,777,NordVPN Advertisment,,,,,,,,,,,
1XZJKKNopEw,842,204,1046,"UK, Education, Unrequited Love",,,,,,,,,,,
eStSbs0PklY,75,167,242,"Pepperoni, Dimension, ZaZa",,,,,,,,,,,
eStSbs0PklY,314,140,454,"Dragon, Minaj, Lemonade",,,,,,,,,,,
eStSbs0PklY,519,84,603,Fiverr Advertisment,,,,,,,,,,,
eStSbs0PklY,630,199,829,"Blue, Basketball, Curry, Chocolate",,,,,,,,,,,
dkcnYy_VjRc,71,173,244,"Astrology, Womb, Feet",,,,,,,,,,,
dkcnYy_VjRc,341,170,511,"Ostrich, Cantaloupe, Superior",,,,,,,,,,,
dkcnYy_VjRc,665,249,914,"Yoga Ball, Cake, A Child",,,,,,,,,,,
4dMm3q1rldE,140,182,322,"Cartoon, Titan, Death",,,,,,,,,,,
4dMm3q1rldE,464,138,602,"Stereotype, Pterodactyl, Explore",,,,,,,,,,,
4dMm3q1rldE,724,154,878,"Peter, Meat, White",,,,,,,,,,,
25ceuw4CuK8,91,226,317,"Graduation, Cabinet, Vase",,,,,,,,,,,
25ceuw4CuK8,442,186,628,"Ice, Octopus, Moon, Photo, Bong",,,,,,,,,,,
25ceuw4CuK8,713,158,871,"Condom, Monkey, Chode",,,,,,,,,,,
wy6qazFc2FQ,81,220,301,"Candle, Xylophone, Catastrophe",,,,,,,,,,,
wy6qazFc2FQ,445,205,650,"Noodle, Keyboard, Chapstick, Leucistic",,,,,,,,,,,
wy6qazFc2FQ,751,220,971,"Museum, Sublet, Citizenship",,,,,,,,,,,
oXI3ysg3s3s,68,175,243,"Dumpling, Giraffe, Surge",,,,,,,,,,,
oXI3ysg3s3s,331,185,516,"Spectacular, Objectifying, Inspirational",,,,,,,,,,,
oXI3ysg3s3s,603,147,750,"Isosceles, Crown, Venn Diagram",,,,,,,,,,,
UlIzq76NZJA,109,198,307,"Linguine, Beans, Sombrero",,,,,,,,,,,
UlIzq76NZJA,395,227,622,"Fire Hydrant, Dragon, Fuzzy",,,,,,,,,,,
UlIzq76NZJA,750,181,931,"Toe, Grass, Toilet Brush",,,,,,,,,,,
OBM1UVnsQQo,79,226,305,"Chicken, Binoculars, Aerodynamics, Bacon, Madagascar, Blasphemy",,,,,,,,,,,
OBM1UVnsQQo,441,184,625,"Tyrannosaurus, Snapchat, TikTok","Tampon, Hairbrush, Eyeliner, Supercalifragilisticexpialidocious",,,,,,,,,,
OBM1UVnsQQo,697,179,876,"Marlboro, Bathroom, Hunger",,,,,,,,,,,
KSc0UuBLRhg,75,219,294," Budussy, Mango, Minecraft",,,,,,,,,,,
KSc0UuBLRhg,388,149,537,"Socks, War Zone, Chocolate",,,,,,,,,,,
KSc0UuBLRhg,585,111,696,NordVPN Advertisment,,,,,,,,,,,
KSc0UuBLRhg,767,186,953,"Asparagus, Buffalos, USA",,,,,,,,,,,
n1K9P5Dtph4,80,228,308,"Bop, Liberty, Green",,,,,,,,,,,
n1K9P5Dtph4,503,219,722,"Vigilant, Piano, Catastrophe",,,,,,,,,,,
n1K9P5Dtph4,1065,180,1245,"Cat Food, Video Games, Religion",,,,,,,,,,,
5yTm4j6KaBQ,117,193,310,"Plant, Hoodie, Mirror",,,,,,,,,,,
5yTm4j6KaBQ,380,258,638,"Freestyle, Albania, Smoke, My Girlfriend Thinks I'm An Option, Pickles, McDonald's","Partial, cut off before permission given, so he went to the next person.",,,,,,,,,,
5yTm4j6KaBQ,826,182,1008,"Preach Cuh, Extravagant, Gracioso",,,,,,,,,,,
1dfh0G8Ik1c,60,207,267,"Birds, Paper, Dental Floss",,,,,,,,,,,
1dfh0G8Ik1c,361,230,591,"Peanut Butter, Legoland, Shit",,,,,,,,,,,
1dfh0G8Ik1c,703,158,861,"Zucchini, Piano, Lamp",,,,,,,,,,,
-pRhkKkM2Ms,70,238,308,"Bed, Trampoline, Headphones, Microphone",,,,,,,,,,,-pRhkKkM2Ms
-pRhkKkM2Ms,396,175,571,"Tacos, Monitor, Coochie",,,,,,,,,,,
-pRhkKkM2Ms,692,173,865,"Pasta, Oorah, Crayons, MRE",,,,,,,,,,,
-pRhkKkM2Ms,1060,219,1279,"Sushi, Brownies, Softball",,,,,,,,,,,
-pRhkKkM2Ms,1348,238,1586,"Yoda, Waterfall, Intersection",,,,,,,,,,,
-pRhkKkM2Ms,1695,235,1930,"Icicle, Senseless, Emotional",,,,,,,,,,,
mwWw-1t3hyw,115,174,289,"Metaverse, Dashboard, Scissors",,,,,,,,,,,
mwWw-1t3hyw,388,210,598,"Calculator, Doughnut, Pencil",,,,,,,,,,,
mwWw-1t3hyw,632,108,740,NordVPN Advertisment,,,,,,,,,,,
mwWw-1t3hyw,819,210,1029,"720, Morrison, Glasses",,,,,,,,,,,
mwWw-1t3hyw,1108,175,1283,"Gamer, Strawberry Cow, LGBTQ",,,,,,,,,,,
3ZhcM7-bh4c,44,235,279,"Acoustic, Acapella, Psychedelics",,,,,,,,,,,
3ZhcM7-bh4c,374,226,600,"Obsidian, Complex, Mitochondria, Anime, Lacrosse",,,,,,,,,,,
3ZhcM7-bh4c,660,97,757,Keeps Advertisment,,,,,,,,,,,
3ZhcM7-bh4c,865,208,1073,"Preposterous, Poignant, Dubious",,,,,,,,,,,
3ZhcM7-bh4c,1170,181,1351,"Pyromaniac, Spherical, Phenomenal",,,,,,,,,,,
Js2Q8tJLgig,66,198,264,"Crayon, Alligator, Popsicle, Expeditionary",,,,,,,,,,,
Js2Q8tJLgig,342,185,527,"Hypnotize, Waterfall, Candy",,,,,,,,,,,
Js2Q8tJLgig,632,148,780,"Harry Potter, Octopus, Jacket",,,,,,,,,,,
Js2Q8tJLgig,895,193,1088,"Controller, Pencil, Extravagant",,,,,,,,,,,
eX9uZQoXAdY,113,174,287,"Giraffe, Star, Jasmine, Ambulance",,,,,,,,,,,
eX9uZQoXAdY,372,189,561,"Kumquat, Sandstone, Leopard",,,,,,,,,,,
eX9uZQoXAdY,609,86,695,Hello Fresh Advertisment,,,,,,,,,,,
eX9uZQoXAdY,778,159,937,"Onomatopoeia, Britannica, Jewlery",,,,,,,,,,,
eX9uZQoXAdY,1030,188,1218,The Life of a Broken Guy,,,,,,,,,,,
AYc7Q6CSeGE,69,171,240,"Potato, Twitter, Cup",,,,,,,,,,,
AYc7Q6CSeGE,332,192,524,"Eiffel Tower, Baguette, Trumpet",,,,,,,,,,,
AYc7Q6CSeGE,572,85,657,NordVPN Advertisment,,,,,,,,,,,
AYc7Q6CSeGE,724,193,917,"Monster, Balls, Crystal, Toes",,,,,,,,,,,
AYc7Q6CSeGE,972,209,1181,"Fire Truck, Surf, Walmart",,,,,,,,,,,
tKXnmUUM-IA,115,208,323,"Goldie Cat, Snow, Monster",,MAINIAC,kanebeats,,,,,,,,
tKXnmUUM-IA,355,77,432,Rap About Drawings,,No Pressure,Jae Tee,,,,,,,,
tKXnmUUM-IA,484,175,659,"Mechanical, Electrical, Computer",,Timeless,ThatKidGoran,,,,,,,,
tKXnmUUM-IA,758,188,946,"Health, Sickness, Faith, Love Yourself",,SlIaughter,Jae Tee,,,,,,,,
Djm0fwEX9ls,71,236,307,"Pigeon, Simulator, Radiator",,The Mack,Cat Beats,,,,,,,,
Djm0fwEX9ls,414,246,660,"Mad, Cash, Story, Constitutional",,Holnorable,Bvtman,,,,,,,,
Djm0fwEX9ls,795,204,999,"Kanye & Donda, Apple, Kid, Play",,Fildelis,Homage,,,,,,,,
Djm0fwEX9ls,1126,173,1299,"United Kingdom, Sunny, Attack",,Trlends,KBEATS,,,,,,,,
UI2qbARbQEw,94,256,350,"Discord, Appointment, Helicopter, Hospital, Piano",,RoqbARbQEyal,,,,,,,,,
UI2qbARbQEw,416,96,512,Bespoke Advertisment,,,,,,,,,,,
UI2qbARbQEw,636,234,870,"Chair, Pumpkin, Dog, Ambidextrous",,Misunderstood,bvtman,,,,,,,,
UI2qbARbQEw,993,192,1185,"Emu, Gay & Hetero, Pink, Skateboards",,CLOSED CASKET,Anabolic Beatz,,,,,,,,
sfFpAz8ZHVg,78,154,232,"Psychology, Memory, Hippopotamus",,Champion,ThatKidGoran,,,,,,,,
sfFpAz8ZHVg,340,142,482,"Capri Sun, Sonic, Sword",,The Beast,Beatowski,,,,,,,,
sfFpAz8ZHVg,559,175,734,"Discombobulated, Adjectives, Journey",,Rebirth,Beatowski,,,,,,,,
CKnUOb6My5Y,91,140,231,"Puppy, Blue Champagne, Telescope",,On Lock,Yung Pear,,,,,,,,
CKnUOb6My5Y,283,56,339,NordVPN Advertisment,,,,,,,,,,,
CKnUOb6My5Y,424,186,610,"Phone, Tissue, Banana",,Jungle,SXLENT via Fat Cat Beats,,,,,,,,
CKnUOb6My5Y,707,200,907,"Dildo, Cookies, Pink",,Zips of Zaza,Parker Jazz,,,,,,,,
BbcTwW_aKxI,83,158,241,"Cheese, Glasses, Playstation",,Spidey,Premise,,,,,,,,
BbcTwW_aKxI,301,79,380,Keeps Advertisment,,,,,,,,,,,
BbcTwW_aKxI,466,159,625,"Pre-workout, Blanket, Melatonin",,What,Premise,,,,,,,,
